Name,CreatedBy,CreatedOn,TypeName,Space,Description,ExtSystem,ExtObject,ExtIdentifier,SerialNumber,InstallationDate,WarrantyStartDate,TagNumber,BarCode,AssetIdentifier,Area,Length,,
Supply Diffuser 600 Face- 850566,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C09,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa86,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850567,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C08,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa87,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850568,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1CC2,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa88,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850569,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C06,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa89,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850570,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C05,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa8a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850571,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C04,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa8b,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850572,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A16,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa8c,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850573,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A08,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa8d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850574,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A07,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa8e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850575,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A06,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa8f,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850576,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A04,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa90,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850577,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1AC5,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa91,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850578,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A05,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa92,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850579,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A03,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa93,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850580,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A16,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa94,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850581,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A10,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa95,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850582,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1AC4,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa96,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850583,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A02,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa97,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850584,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A01,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa98,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850585,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A02,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa99,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850586,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A01,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa9a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850587,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A16,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa9b,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850588,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A15,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa9c,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850589,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A14,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa9d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850590,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1A16,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa9e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850591,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1AC3,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfa9f,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850592,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C07,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850593,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D05,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850594,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC3,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850595,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D02,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850596,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D08,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850597,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D10,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850598,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC1,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850599,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC1,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850600,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC1,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850601,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC1,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaa9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850602,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D07,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaaa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850603,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1C10,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaab,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850604,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC4,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaac,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850605,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D16,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850606,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D16,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaae,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850607,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D16,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaaf,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850608,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D16,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850609,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D21,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850610,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D21,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850611,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D20,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850612,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D22,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850613,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC1,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850614,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D22,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850615,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC1,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850616,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D19,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850617,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC1,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfab9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850618,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1D15,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfaba,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Supply Diffuser 600 Face- 850619,danielle.r.love@usace.army.mil,2013-12-30T08:58:00,Supply Diffuser 600 Face,1DC1,M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilyInstance,4ec17585-c36e-4cc3-8301-61df48a06d7e-000cfabb,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
