Name,CreatedBy,CreatedOn,Category,SpaceNames,ExtSystem,ExtObject,ExtIdentifier,Description,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1DC2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1DC3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1DC4,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1DC5,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1DC6,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1DC7,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1DC8,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1EC1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1EC2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1EC3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,1EC4,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2AC1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2AC2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2AC3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2AC4,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2AC5,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2AS1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2BC1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2BC2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2BC3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2BC4,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2BC5,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2BC6,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2BS2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2CC1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2CC3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2CC4,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2CC2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2CC5,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2CS3,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2DC1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,2DC2,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Circulation,danielle.r.love@usace.army.mil,2014-01-03T06:02:58,Occupancy Zone,E1,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,be3d2742-44db-41fa-9ca1-838b02deee88,Circulation Area,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A01,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A02,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A03,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A04,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A05,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A06,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A07,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A08,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A09,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A10,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A11,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A12,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A12A,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A13,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2A14,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C01,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C02,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C03,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C04,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C06,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C07,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C08,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C09,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C10,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C12,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C14,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C16,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C17,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C19,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C22,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C23,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
Dental,danielle.r.love@usace.army.mil,2014-01-03T06:03:18,Occupancy Zone,2C24,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,40dfceb7-cf1c-4008-bfb6-0278232a5f7d,Dental Department,,,,,,,,,,
EROM,danielle.r.love@usace.army.mil,2014-01-03T06:03:48,Occupancy Zone,2B15,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,5dd77f37-8362-413b-8d9d-3811157b9872,EROM Department,,,,,,,,,,
EROM,danielle.r.love@usace.army.mil,2014-01-03T06:03:48,Occupancy Zone,2B16,"Autodesk Revit 2014, Build: 20131024_2115(x64)",RDES.Revit.COBie.COBieExtension.ZoneManager.ZoneData,5dd77f37-8362-413b-8d9d-3811157b9872,EROM Department,,,,,,,,,,
