Name,CreatedBy,CreatedOn,Category,FloorName,Description,ExtSystem,ExtObject,ExtIdentifier,RoomTag,UsableHeight,GrossArea,NetArea,,,,,,
1DC2,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000623f2,n/a,2.4,6.3474,6.3474,,,,,,
1DC3,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000623f5,n/a,2.4,31.8109,31.8109,,,,,,
1DC4,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000623f8,n/a,2.4,15.0608,15.0608,,,,,,
1CC1,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000627ee,n/a,2.4,42.6545,42.6545,,,,,,
1CC2,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000627f5,n/a,2.4,8.2321,8.2321,,,,,,
1CC3,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000627f8,n/a,2.4,11.4965,11.4965,,,,,,
1C01,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-51 31 11: Waiting Room,First Floor,WAITING,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000627fb,n/a,2.7,11.8597,11.8597,,,,,,
1C02,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-11 11 31: Reception Space,First Floor,RECEPTION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062802,n/a,2.6,9.3193,9.3193,,,,,,
1C03,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-75 11 11: Storage Room,First Floor,JAN. CL.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062805,n/a,2.4,4.1106,4.1106,,,,,,
1C04,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,FITTING / DISP.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006280d,n/a,2.4,10.1189,10.1189,,,,,,
1C05,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 14: Physical Examination Room,First Floor,VISUAL FIELD,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062810,n/a,2.4,11.3446,11.3446,,,,,,
1C06,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-75 41 14: Soiled Storage Room Space,First Floor,SOIL. UTL. / TRASH,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062813,n/a,2.4,5.4004,5.4004,,,,,,
1C07,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,OPT. EXAM / OFF.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062816,n/a,2.4,17.5712,17.5712,,,,,,
1C08,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 14: Physical Examination Room,First Floor,SCREEN EYE TEST,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062819,n/a,2.4,9.8178,9.8178,,,,,,
1C09,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 31: Scanning/Imaging Room,First Floor,FUNDUS CAMERA ROOM,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006281c,n/a,2.4,14.9278,14.9278,,,,,,
1C10,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,OPT. EXAM / OFF.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006281f,n/a,2.4,18.2545,18.2545,,,,,,
1D01,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-75 41 14: Soiled Storage Room Space,First Floor,SL. LIN. / TRASH,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006282c,n/a,2.4,2.0017,2.0017,,,,,,
1D02,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062833,n/a,2.4,11.5298,11.5298,,,,,,
1D03,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 21 11 21: Clean Room,First Floor,CLEAN U.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062836,n/a,2.4,2.3501,2.3501,,,,,,
1D04,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 11 14 21: Restroom,First Floor,TOILET,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062839,n/a,2.4,5.1046,5.1046,,,,,,
1D05,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 11: Treatment Room,First Floor,TRMT RM. DIRTY PROC.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006283c,n/a,2.7,14.1331,14.1331,,,,,,
1D06,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 11 99: Other Grooming Spaces,First Floor,SCOPE WASH / DECON.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006283f,n/a,2.7,8.9975,8.9975,,,,,,
1D07,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062842,n/a,2.4,12.5663,12.5663,,,,,,
1D08,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062845,n/a,2.4,12.8273,12.8273,,,,,,
1D09,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062848,n/a,2.4,12.7792,12.7792,,,,,,
1D10,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006284b,n/a,2.4,12.7437,12.7437,,,,,,
1D11,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006284e,n/a,2.4,12.698,12.698,,,,,,
1D12,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 24 11: Laboratory,First Floor,SPECIMEN COLL. LAB,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062851,n/a,2.4,10.2108,10.2108,,,,,,
1D13,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062854,n/a,2.4,12.8258,12.8258,,,,,,
1D14,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 11 14 21: Restroom,First Floor,SPECIMEN TOILET,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062857,n/a,2.4,4.7535,4.7535,,,,,,
1D15,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 14: Physical Examination Room,First Floor,WTS & MEAS. ROOM,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006285a,n/a,2.4,5.0677,5.0677,,,,,,
1D16,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,PROVIDER CUBICLES,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006286e,n/a,2.7,67.8336,67.8336,,,,,,
1D17,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-75 11 11: Storage Room,First Floor,JAN. CL.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062871,n/a,2.4,2.0567,2.0567,,,,,,
1D18,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 11 14 21: Restroom,First Floor,TOILET,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062874,n/a,2.4,8.2603,8.2603,,,,,,
1D19,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,MDIS VIEW,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062877,n/a,2.4,5.6366,5.6366,,,,,,
1D20,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,APPMTS,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006287a,n/a,2.4,11.7909,11.7909,,,,,,
1D21,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,GROUP IS,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006287d,n/a,2.4,19.1917,19.1917,,,,,,
1D22,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,TEAM INTERACTION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062880,n/a,2.4,24.237,24.237,,,,,,
1D23,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,GROUP IS,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062883,n/a,2.4,19.1868,19.1868,,,,,,
1D24,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-75 11 11: Storage Room,First Floor,RECORDS,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062886,n/a,2.4,11.7777,11.7777,,,,,,
1D25,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,PROVIDER CUBICLES,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062889,n/a,2.7,67.8191,67.8191,,,,,,
1D26,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 11 14 21: Restroom,First Floor,TOILET,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006288c,n/a,2.4,5.0435,5.0435,,,,,,
1D27,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 11 34 11: Office,First Floor,ADMIN WORK STATN.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006288f,n/a,2.4,10.7499,10.7499,,,,,,
1D28,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062892,n/a,2.4,12.6883,12.6883,,,,,,
1D30,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 14: Physical Examination Room,First Floor,WTS & MEAS. ROOM,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062895,n/a,2.4,9.2653,9.2653,,,,,,
1D31,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 14: Physical Examination Room,First Floor,PEDIATRIC WTS & MSRS,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-0006289d,n/a,2.4,11.0208,11.0208,,,,,,
1D32,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628a0,n/a,2.4,12.7483,12.7483,,,,,,
1D33,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-51 31 11: Waiting Room,First Floor,PEDIATRIC WAITING,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628a3,n/a,2.4,12.7423,12.7423,,,,,,
1D34,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628a6,n/a,2.4,12.8258,12.8258,,,,,,
1D35,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628a9,n/a,2.4,12.8258,12.8258,,,,,,
1D36,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,INTERACTION STATION,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628ac,n/a,2.4,12.7053,12.7053,,,,,,
1D37,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-15 21 11 21: Clean Room,First Floor,CLEAN U.,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628af,n/a,2.4,2.3501,2.3501,,,,,,
1D38,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 11: Treatment Room,First Floor,TRMT ROOM,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628f2,n/a,2.4,23.2605,23.2605,,,,,,
1D39,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-75 11 11: Storage Room,First Floor,SL. LIN. / TRASH,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628f5,n/a,2.4,2.0007,2.0007,,,,,,
1D40,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 41 99: Other Healing Spaces,First Floor,IMMUNIZATION ROOM,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628f8,n/a,2.7,16.5524,16.5524,,,,,,
1DC5,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-000628fe,n/a,2.4,6.6122,6.6122,,,,,,
1DC6,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062ab0,n/a,2.4,15.0065,15.0065,,,,,,
1DC7,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062ab3,n/a,2.4,31.9069,31.9069,,,,,,
1DC8,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-85 11 11: Corridor,First Floor,CORRIDOR,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062ab6,n/a,2.4,6.2924,6.2924,,,,,,
1C12,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,13-41 11 14 21: Restroom,First Floor,TOILET,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Architecture.Room,3dde7303-5414-4af6-b96b-591f33d44ad6-00062abc,n/a,2.4,6.147,6.147,,,,,,
