Name,CreatedBy,CreatedOn,Category,Description,AssetType,Manufacturer,ModelNumber,WarrantyGuarantorParts,WarrantyDurationParts,WarrantyGuarantorLabor,WarrantyDurationLabor,WarrantyDurationUnit,ExtSystem,ExtObject,ExtIdentifier,ReplacementCost,ExpectedLife,DurationUnit,WarrantyDescription,NominalLength,NominalWidth,NominalHeight,ModelReference,Shape,Size,Color,Finish,Grade,Material,Constituents,Features,AccessibilityPerformance,CodePerformance,SustainabilityPerformance,Area,Length,
Return Diffuser 450 Face,danielle.r.love@usace.army.mil,2013-12-30T08:58:10,"23.75.70.21.27.11: Diffusers, Registers, and Grilles",450 x 450 Face 300 x 300 Connection 3,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a40,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Supply Diffuser Sidewall 400mm,danielle.r.love@usace.army.mil,2013-12-30T08:58:10,"23.75.70.21.27.11: Diffusers, Registers, and Grilles",400mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a7d,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Supply Diffuser Sidewall 200mm,danielle.r.love@usace.army.mil,2013-12-30T08:58:10,"23.75.70.21.27.11: Diffusers, Registers, and Grilles",200mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4ec17585-c36e-4cc3-8301-61df48a06d7e-000c8a7f,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type A3,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Base Cabinet-Double Door & 2 Drawer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,e5ba3237-268a-458b-9c0f-a871d55d9e0b-0004dfad,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Counter Top,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Counter Top 600mm Depth,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,e5ba3237-268a-458b-9c0f-a871d55d9e0b-0004e1ce,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,White,n/a,n/a,Granite,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Counter Top - L Shaped,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,L Shaped Counter Top 600mm Depth,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,e5ba3237-268a-458b-9c0f-a871d55d9e0b-0004e5ad,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,White,n/a,n/a,Granite,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type B1,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Upper Cabinet-Double Door-Wall,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,e5ba3237-268a-458b-9c0f-a871d55d9e0b-0004ea6b,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type B3,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Upper Cabinet-Double Door-Wall,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,e5ba3237-268a-458b-9c0f-a871d55d9e0b-0004f175,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type C,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Upper Cabinet-Single Door-Wall,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,e5ba3237-268a-458b-9c0f-a871d55d9e0b-0004fd21,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type B4,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Upper Cabinet-Double Door-Wall,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,b1ce60d7-c2da-4d17-ae80-b31ee5f80d50-00052936,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type B,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Upper Cabinet-Double Door-Wall,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,e5f3f95c-4654-46ff-b0fc-b880a9041b2d-00053399,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type B2,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Upper Cabinet-Double Door-Wall,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,e5f3f95c-4654-46ff-b0fc-b880a9041b2d-00053c96,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type A,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Base Cabinet-Double Door & 2 Drawer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,c1f0f3d5-d958-4635-ba02-942e4e9f2876-00066de5,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type A1,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Base Cabinet-Double Door & 2 Drawer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,c1f0f3d5-d958-4635-ba02-942e4e9f2876-00066e07,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type A2,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Base Cabinet-Double Door & 2 Drawer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,c1f0f3d5-d958-4635-ba02-942e4e9f2876-00066e19,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type A4,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Base Cabinet-Double Door & 2 Drawer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,5c69594c-0f0e-4d71-b77a-4ddd3ff67f95-00066e76,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type A5,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Base Cabinet-Double Door & 2 Drawer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,5c69594c-0f0e-4d71-b77a-4ddd3ff67f95-00066e88,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type A6,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Base Cabinet-Double Door & 2 Drawer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,5c69594c-0f0e-4d71-b77a-4ddd3ff67f95-00066e9a,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type A7,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Base Cabinet-Double Door & 2 Drawer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,5c69594c-0f0e-4d71-b77a-4ddd3ff67f95-00066ebc,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cabinet Type A8,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-40 35 17 47 11: Kitchen Casework,Base Cabinet-Double Door & 2 Drawer,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,5c69594c-0f0e-4d71-b77a-4ddd3ff67f95-00066f0e,n/a,20,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-D9030,bill.east@us.army.mil,2013-12-30T08:58:10,23-40 35 11 11: Cabinets,Cabinet-810 x 560 x 460,Fixed,n/a,MC-SML001,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,4eb2de81-d10d-4112-88b5-6bf55cdb7081-000e3f6f,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-D9400,bill.east@us.army.mil,2013-12-30T08:58:10,23-40 35 11 11: Cabinets,Cabinet-760 x 965 x 355,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,3e320d0c-b4dc-4712-8298-6570b9115860-000e4f1b,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-D9787,bill.east@us.army.mil,2013-12-30T08:58:10,23-40 35 11 11: Cabinets,Cabinet-790 x 480 x 455,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,3e320d0c-b4dc-4712-8298-6570b9115860-000e51bb,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-D9693,bill.east@us.army.mil,2013-12-30T08:58:10,23-40 35 11 11: Cabinets,Cabinet-780 x 480 x 455,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,3e320d0c-b4dc-4712-8298-6570b9115860-000e528b,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-D9661,bill.east@us.army.mil,2013-12-30T08:58:10,23-40 35 11 11: Cabinets,Cabinet-790 x 480 x 460,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,3e320d0c-b4dc-4712-8298-6570b9115860-000e52e8,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-D9836,bill.east@us.army.mil,2013-12-30T08:58:10,23-40 35 11 11: Cabinets,Cabinet-780 x 685 x 455,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,3e320d0c-b4dc-4712-8298-6570b9115860-000e534d,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-D9941,bill.east@us.army.mil,2013-12-30T08:58:10,23-40 70 17 21 11: Counters and Work Surfaces,Counter Top-Laminated,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,3e320d0c-b4dc-4712-8298-6570b9115860-000e5386,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Equip-A5220,bill.east@us.army.mil,2013-12-30T08:58:10,23-85 05 17 11 11: Television Broadcasting Equipment,Wall Mounted Bracket Television,Fixed,n/a,WGWMTB1830BL,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,7681a401-b868-457a-8161-7fb01dd98a9a-000dcd5f,n/a,n/a,year,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type D,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-30 10: Doors,Folding Accordion Partition,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,c56a882c-9737-4436-9f11-0d74a908b65b-0003b6e5,n/a,10,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type H,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:10,23-30 10: Doors,Aluminium Storefront - 0915 x 2134mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,c56a882c-9737-4436-9f11-0d74a908b65b-0003b9bf,n/a,20,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,n/a,n/a,Aluminum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
M_Curtain Wall Sgl Glass_M_Curtain Wall Sgl Glass,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,M_Curtain Wall Sgl Glass: M_Curtain Wall Sgl Glass,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,c56a882c-9737-4436-9f11-0d74a908b65b-0003bbee,n/a,n/a,year,n/a,n/a,0.915,2.335,n/a,rectangular,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Toilet Door,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,0865 x 1500mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,c56a882c-9737-4436-9f11-0d74a908b65b-0003d1b8,588,n/a,year,n/a,n/a,915,1500,2EHH6,rectangular,n/a,n/a,n/a,n/a,Stainless Steel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type A,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Solid Core Wood - 0915 x 2134mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,97486346-4c68-48fa-a846-52f5bb483733-000eab1b,n/a,15,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,Solid Core,n/a,Wood,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type B,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Solid Core Wood w/Glass - 0915 x 2134mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,97486346-4c68-48fa-a846-52f5bb483733-000eab1d,n/a,15,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,Solid Core,n/a,Wood,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type C,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Lead Lined Flush Solid Core Wood - 0915 x 2134mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,97486346-4c68-48fa-a846-52f5bb483733-000eab1f,n/a,15,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,Lead Lined Solid Core,n/a,Wood,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type E,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Steel - 0915 x 2134mm Exterior,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,97486346-4c68-48fa-a846-52f5bb483733-000eab21,n/a,20,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,n/a,n/a,Steel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type F,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Steel w/Glass - 0915 x 2134mm Exterior,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,97486346-4c68-48fa-a846-52f5bb483733-000eab23,n/a,20,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,n/a,n/a,Steel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type A1,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Solid Core Wood - 0915 x 2134mm,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,97486346-4c68-48fa-a846-52f5bb483733-000ead12,n/a,15,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,Solid Core,n/a,Wood,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Door Type E1,mariangelica.carrasquillo@usace.army.mil,2013-12-30T08:58:11,23-30 10: Doors,Flush Steel - 0915 x 2134mm Exterior,Fixed,n/a,n/a,n/a,n/a,n/a,n/a,year,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.FamilySymbol,97486346-4c68-48fa-a846-52f5bb483733-000ead18,n/a,20,year,n/a,45,0.915,2.135,n/a,rectangular,n/a,n/a,n/a,n/a,Steel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
