Name,CreatedBy,CreatedOn,Category,SheetName,RowName,Value,Unit,ExtSystem,ExtObject,ExtIdentifier,Description,AllowedValues,,,,,,
FloorMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924134,n/a,n/a,,,,,,
Name,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,CORRIDOR,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006900,n/a,n/a,,,,,,
Number,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,1AC3,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006901,n/a,n/a,,,,,,
WallColor-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924148,n/a,n/a,,,,,,
WallColor-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924144,n/a,n/a,,,,,,
WallColor-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924152,n/a,n/a,,,,,,
WallColor-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924156,n/a,n/a,,,,,,
WallMaterial-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924146,n/a,n/a,,,,,,
WallMaterial-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924142,n/a,n/a,,,,,,
WallMaterial-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924150,n/a,n/a,,,,,,
WallMaterial-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC3,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924154,n/a,n/a,,,,,,
BaseColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924140,n/a,n/a,,,,,,
BaseMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924138,n/a,n/a,,,,,,
CeilingColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924160,n/a,n/a,,,,,,
CeilingMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924158,n/a,n/a,,,,,,
FloorColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924136,n/a,n/a,,,,,,
FloorMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924134,n/a,n/a,,,,,,
Name,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,CORRIDOR,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006900,n/a,n/a,,,,,,
Number,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,1AC4,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006901,n/a,n/a,,,,,,
WallColor-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924148,n/a,n/a,,,,,,
WallColor-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924144,n/a,n/a,,,,,,
WallColor-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924152,n/a,n/a,,,,,,
WallColor-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924156,n/a,n/a,,,,,,
WallMaterial-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924146,n/a,n/a,,,,,,
WallMaterial-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924142,n/a,n/a,,,,,,
WallMaterial-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924150,n/a,n/a,,,,,,
WallMaterial-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC4,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924154,n/a,n/a,,,,,,
BaseColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924140,n/a,n/a,,,,,,
BaseMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924138,n/a,n/a,,,,,,
CeilingColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924160,n/a,n/a,,,,,,
CeilingMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924158,n/a,n/a,,,,,,
FloorColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924136,n/a,n/a,,,,,,
FloorMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924134,n/a,n/a,,,,,,
Name,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,CORRIDOR,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006900,n/a,n/a,,,,,,
Number,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,1AC5,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006901,n/a,n/a,,,,,,
WallColor-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924148,n/a,n/a,,,,,,
WallColor-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924144,n/a,n/a,,,,,,
WallColor-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924152,n/a,n/a,,,,,,
WallColor-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924156,n/a,n/a,,,,,,
WallMaterial-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924146,n/a,n/a,,,,,,
WallMaterial-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924142,n/a,n/a,,,,,,
WallMaterial-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924150,n/a,n/a,,,,,,
WallMaterial-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1AC5,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924154,n/a,n/a,,,,,,
BaseColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924140,n/a,n/a,,,,,,
BaseMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924138,n/a,n/a,,,,,,
CeilingColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924160,n/a,n/a,,,,,,
CeilingMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924158,n/a,n/a,,,,,,
FloorColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924136,n/a,n/a,,,,,,
FloorMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924134,n/a,n/a,,,,,,
Name,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,PATIENT ADMIN. RECEPT.,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006900,n/a,n/a,,,,,,
Number,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,1A01,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006901,n/a,n/a,,,,,,
WallColor-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924148,n/a,n/a,,,,,,
WallColor-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924144,n/a,n/a,,,,,,
WallColor-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924152,n/a,n/a,,,,,,
WallColor-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924156,n/a,n/a,,,,,,
WallMaterial-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924146,n/a,n/a,,,,,,
WallMaterial-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924142,n/a,n/a,,,,,,
WallMaterial-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924150,n/a,n/a,,,,,,
WallMaterial-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A01,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924154,n/a,n/a,,,,,,
BaseColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924140,n/a,n/a,,,,,,
BaseMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924138,n/a,n/a,,,,,,
CeilingColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924160,n/a,n/a,,,,,,
CeilingMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924158,n/a,n/a,,,,,,
FloorColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924136,n/a,n/a,,,,,,
FloorMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924134,n/a,n/a,,,,,,
Name,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,RMO ANALYST,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006900,n/a,n/a,,,,,,
Number,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,1A02,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,-1006901,n/a,n/a,,,,,,
WallColor-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924148,n/a,n/a,,,,,,
WallColor-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924144,n/a,n/a,,,,,,
WallColor-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924152,n/a,n/a,,,,,,
WallColor-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924156,n/a,n/a,,,,,,
WallMaterial-East,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924146,n/a,n/a,,,,,,
WallMaterial-North,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924142,n/a,n/a,,,,,,
WallMaterial-South,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924150,n/a,n/a,,,,,,
WallMaterial-West,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A02,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924154,n/a,n/a,,,,,,
BaseColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A03,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924140,n/a,n/a,,,,,,
BaseMaterial,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A03,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924138,n/a,n/a,,,,,,
CeilingColor,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Approved,Space,1A03,n/a,n/a,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.Parameter,924160,n/a,n/a,,,,,,
