Name,CreatedBy,CreatedOn,Category,SheetName,RowName,CoordinateXAxis,CoordinateYAxis,CoordinateZAxis,ExtSystem,ExtObject,ExtIdentifier,ClockwiseRotation,ElevationalRotation,YawRotation,,,,
1AC1_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1AC1,-66.16142,84.66995,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1AC1_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1AC1,0.80873,114.8622,14.99344,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1AC2_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1AC2,-66.16142,114.8622,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1AC2_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1AC2,-50.26247,138.30709,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1AC3_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1AC3,-69.08136,138.71391,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1AC3_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1AC3,-59.44882,163.5269,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1AC4_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1AC4,-59.04199,138.71391,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1AC4_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1AC4,-42.15879,144.32415,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1AC5_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1AC5,-14.31102,114.51444,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1AC5_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1AC5,-9.97375,163.5269,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A01_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A01,-24.23228,114.51444,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A01_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A01,-14.31102,135.26903,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A02_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A02,-9.97375,114.51444,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A02_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A02,0.37073,144.32415,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A03_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A03,-24.23228,135.67585,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A03_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A03,-14.51444,144.81627,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A04_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A04,-9.56693,144.73097,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A04_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A04,0.37073,154.03543,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A05_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A05,-24.23228,145.2231,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A05_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A05,-14.51444,154.6916,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A06_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A06,-9.56693,154.44226,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A06_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A06,0.37073,164.70801,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A07_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A07,-24.23228,155.09843,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A07_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A07,-14.51444,164.70801,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A08_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A08,-46.78478,155.70538,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A08_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A08,-35.41339,164.70801,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A09_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A09,-59.04199,154.86877,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A09_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A09,-48.0315,164.70801,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A10_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A10,-47.73622,144.73097,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A10_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A10,-35.41339,155.29856,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A11_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A11,-38.3727,149.19291,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A11_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A11,-35.41339,155.29856,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A12_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A12,-59.04199,144.73097,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A12_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A12,-48.0315,154.46194,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A13_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A13,-49.85564,132.49344,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A13_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A13,-42.56562,138.30709,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A14_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A14,-49.85564,123.68766,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A14_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A14,-41.20735,132.08661,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A15_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1A15,-49.85564,115.6168,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1A15_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1A15,-41.61417,123.28084,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1DC1_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1DC1,-159.12402,91.97507,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1DC1_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1DC1,-65.72507,119.34875,14.99344,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1DC2_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1DC2,-85.5643,116.4042,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1DC2_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1DC2,-79.95407,127.78871,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1DC3_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1DC3,-127.03412,124.9147,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1DC3_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1DC3,-73.4252,134.13714,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1DC4_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1DC4,-132.58858,119.75558,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1DC4_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1DC4,-127.03412,147.08005,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1CC1_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1CC1,-132.58858,147.08005,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1CC1_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1CC1,-69.48819,164.70801,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1CC2_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1CC2,-103.67454,163.58268,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1CC2_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1CC2,-98.0643,178.10564,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1CC3_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1CC3,-132.58858,163.58268,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1CC3_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1CC3,-123.86811,181.39108,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C01_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C01,-127.03412,147.08005,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C01_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C01,-115.53478,157.97244,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C02_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C02,-115.53478,147.08005,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C02_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C02,-106.13189,157.56562,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C03_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C03,-105.72507,147.6706,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C03_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C03,-101.8668,157.56562,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C04_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C04,-97.65748,163.9895,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C04_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C04,-86.37467,172.86745,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C05_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C05,-97.65748,173.27428,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C05_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C05,-86.37467,184.55709,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C06_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C06,-103.67454,178.51247,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C06_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C06,-95.38714,184.55709,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C07_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C07,-89.51772,147.08394,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C07_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C07,-65.46588,157.56562,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C08_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C08,-116.85039,163.9895,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C08_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C08,-104.08136,172.30971,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C09_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C09,-116.85039,172.71654,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C09_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C09,-104.08136,184.55709,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C10_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1C10,-101.45997,147.08005,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1C10_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1C10,-77.42454,157.56562,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D01_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1D01,-89.14042,114.51295,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D01_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1D01,-85.97113,120.68898,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D02_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1D02,-79.54724,115.6168,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D02_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1D02,-66.56824,124.50787,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D03_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1D03,-89.14042,121.0958,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D03_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1D03,-85.5643,127.38189,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D04_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1D04,-73.01837,125.75459,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D04_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1D04,-66.56824,133.39895,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D05_LowerLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-lowerleft,Space,1D05,-77.7231,133.80577,0,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
1D05_UpperRightLeft,danielle.r.love@usace.army.mil,2013-12-30T08:58:02,Box-upperright,Space,1D05,-66.56824,146.78478,14.66535,"Autodesk Revit 2014, Build: 20131024_2115(x64)",Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,0,0,0,,,,
